Gx	Gy	Gz	Gyrox	Gyroy	Gyroz
-0.005	-0.011	 1.094	 0.290	 0.885	 0.595
-0.004	-0.009	 1.093	 0.237	 0.839	 0.610
-0.004	-0.008	 1.091	 0.221	 0.839	 0.572
 0.000	-0.008	 1.094	 0.168	 0.877	 0.549
-0.001	-0.010	 1.096	 0.145	 0.854	 0.458
-0.002	-0.014	 1.105	 0.206	 0.893	 0.473
 0.000	-0.009	 1.105	 0.343	 0.931	 0.519
 0.000	-0.008	 1.102	 0.328	 0.946	 0.580
 0.001	-0.014	 1.096	 0.175	 0.862	 0.572
 0.002	-0.014	 1.100	 0.099	 0.877	 0.565
 0.003	-0.014	 1.106	 0.092	 0.908	 0.580
 0.002	-0.013	 1.105	 0.168	 0.931	 0.572
 0.006	-0.013	 1.096	 0.183	 0.854	 0.519
 0.002	-0.011	 1.103	 0.206	 0.877	 0.496
 0.002	-0.010	 1.114	 0.183	 0.877	 0.519
-0.002	-0.010	 1.100	 0.237	 0.816	 0.526
-0.001	-0.012	 1.100	 0.275	 0.793	 0.565
 0.004	-0.010	 1.098	 0.252	 0.847	 0.580
 0.003	-0.010	 1.098	 0.183	 0.885	 0.603
 0.006	-0.008	 1.098	 0.191	 0.938	 0.633
 0.008	-0.009	 1.093	 0.252	 0.923	 0.504
 0.008	-0.015	 1.099	 0.275	 0.847	 0.404
 0.005	-0.008	 1.100	 0.244	 0.885	 0.473
 0.003	-0.014	 1.108	 0.237	 0.893	 0.511
-0.002	-0.012	 1.098	 0.275	 0.870	 0.526
-0.001	-0.008	 1.095	 0.267	 0.870	 0.565
 0.001	-0.008	 1.092	 0.244	 0.893	 0.610
 0.004	-0.010	 1.100	 0.290	 0.961	 0.534
-0.002	-0.012	 1.109	 0.267	 0.946	 0.519
-0.006	-0.011	 1.108	 0.198	 0.900	 0.572
-0.006	-0.011	 1.101	 0.183	 0.832	 0.504
-0.002	-0.014	 1.100	 0.214	 0.862	 0.504
 0.003	-0.010	 1.099	 0.244	 0.893	 0.549
 0.002	-0.008	 1.110	 0.237	 0.801	 0.519
-0.002	-0.013	 1.109	 0.183	 0.755	 0.481
 0.003	-0.013	 1.100	 0.206	 0.862	 0.534
-0.003	-0.017	 1.106	 0.214	 0.877	 0.587
-0.003	-0.013	 1.105	 0.267	 0.862	 0.618
 0.002	-0.012	 1.101	 0.214	 0.854	 0.458
-0.002	-0.007	 1.106	 0.160	 0.816	 0.420
-0.004	-0.007	 1.104	 0.191	 0.847	 0.519
-0.001	-0.005	 1.093	 0.252	 0.923	 0.618
 0.002	-0.015	 1.098	 0.229	 0.885	 0.626
 0.001	-0.013	 1.104	 0.175	 0.854	 0.580
 0.002	-0.014	 1.098	 0.259	 0.923	 0.557
-0.001	-0.006	 1.102	 0.313	 0.916	 0.542
-0.001	-0.005	 1.094	 0.252	 0.824	 0.549
-0.002	-0.010	 1.095	 0.214	 0.801	 0.580
 0.000	-0.012	 1.095	 0.282	 0.839	 0.534
 0.003	-0.010	 1.105	 0.267	 0.877	 0.504
 0.009	-0.011	 1.097	 0.183	 0.893	 0.496
 0.004	-0.014	 1.098	 0.153	 0.832	 0.534
 0.004	-0.011	 1.096	 0.168	 0.832	 0.557
-0.001	-0.013	 1.098	 0.198	 0.763	 0.534
-0.004	-0.012	 1.105	 0.252	 0.801	 0.549
 0.004	-0.013	 1.101	 0.229	 0.854	 0.618
-0.001	-0.010	 1.100	 0.160	 0.908	 0.572
-0.000	-0.015	 1.099	 0.168	 0.916	 0.549
 0.001	-0.019	 1.092	 0.198	 0.885	 0.595
-0.002	-0.011	 1.102	 0.198	 0.877	 0.595
-0.000	-0.007	 1.107	 0.198	 0.854	 0.572
 0.004	-0.013	 1.096	 0.221	 0.839	 0.549
 0.005	-0.022	 1.093	 0.237	 0.885	 0.526
 0.003	-0.016	 1.103	 0.221	 0.862	 0.580
 0.006	-0.012	 1.101	 0.267	 0.854	 0.603
 0.006	-0.013	 1.103	 0.237	 0.854	 0.542
 0.004	-0.010	 1.107	 0.206	 0.877	 0.504
 0.003	-0.014	 1.107	 0.206	 0.900	 0.542
-0.001	-0.011	 1.111	 0.198	 0.954	 0.542
 0.002	-0.013	 1.105	 0.168	 0.938	 0.542
 0.000	-0.011	 1.103	 0.206	 0.854	 0.557
 0.002	-0.010	 1.104	 0.221	 0.793	 0.603
 0.005	-0.009	 1.103	 0.153	 0.816	 0.572
 0.000	-0.016	 1.094	 0.137	 0.832	 0.542
 0.000	-0.010	 1.096	 0.214	 0.877	 0.526
 0.003	-0.008	 1.107	 0.267	 0.854	 0.519
 0.000	-0.010	 1.108	 0.198	 0.847	 0.526
 0.000	-0.012	 1.098	 0.175	 0.870	 0.572
 0.006	-0.013	 1.105	 0.244	 0.816	 0.557
-0.000	-0.015	 1.110	 0.244	 0.763	 0.526
 0.003	-0.011	 1.103	 0.206	 0.801	 0.504
 0.002	-0.005	 1.095	 0.198	 0.832	 0.565
 0.001	-0.007	 1.100	 0.191	 0.877	 0.549
 0.005	-0.009	 1.101	 0.252	 0.870	 0.519
 0.005	-0.012	 1.094	 0.221	 0.847	 0.587
 0.002	-0.011	 1.094	 0.092	 0.877	 0.641
-0.000	-0.010	 1.097	 0.122	 0.847	 0.580
-0.001	-0.015	 1.098	 0.229	 0.916	 0.504
-0.006	-0.014	 1.099	 0.237	 0.908	 0.496
-0.001	-0.011	 1.098	 0.221	 0.870	 0.504
-0.002	-0.018	 1.104	 0.229	 0.809	 0.542
-0.002	-0.013	 1.101	 0.267	 0.809	 0.580
 0.000	-0.012	 1.098	 0.267	 0.854	 0.519
-0.001	-0.013	 1.099	 0.175	 0.923	 0.473
 0.000	-0.009	 1.099	 0.122	 0.862	 0.473
 0.005	-0.009	 1.098	 0.183	 0.778	 0.435
-0.006	-0.010	 1.095	 0.275	 0.839	 0.511
-0.003	-0.012	 1.101	 0.267	 0.923	 0.557
 0.005	-0.011	 1.101	 0.214	 0.877	 0.534
-0.000	-0.015	 1.107	 0.206	 0.839	 0.526
-0.003	-0.010	 1.104	 0.229	 0.832	 0.488
 0.001	-0.012	 1.098	 0.175	 0.839	 0.534
 0.005	-0.016	 1.097	 0.145	 0.908	 0.549
 0.004	-0.016	 1.098	 0.198	 0.931	 0.534
 0.004	-0.017	 1.104	 0.229	 0.938	 0.549
 0.001	-0.014	 1.099	 0.214	 0.938	 0.542
 0.003	-0.011	 1.102	 0.229	 0.893	 0.488
 0.003	-0.014	 1.094	 0.206	 0.824	 0.511
-0.003	-0.016	 1.093	 0.259	 0.816	 0.565
-0.001	-0.014	 1.094	 0.267	 0.885	 0.610
 0.002	-0.014	 1.092	 0.229	 0.916	 0.603
 0.006	-0.019	 1.101	 0.259	 0.984	 0.595
 0.005	-0.016	 1.103	 0.259	 0.877	 0.565
-0.003	-0.006	 1.095	 0.244	 0.870	 0.526
-0.002	-0.005	 1.102	 0.198	 0.877	 0.542
 0.000	-0.008	 1.103	 0.221	 0.870	 0.519
-0.003	-0.009	 1.097	 0.206	 0.862	 0.526
-0.003	-0.017	 1.092	 0.237	 0.877	 0.526
 0.000	-0.010	 1.097	 0.191	 0.847	 0.458
-0.006	-0.013	 1.102	 0.153	 0.854	 0.488
-0.001	-0.016	 1.089	 0.145	 0.885	 0.534
 0.003	-0.007	 1.096	 0.183	 0.862	 0.603
 0.003	-0.012	 1.103	 0.168	 0.832	 0.587
 0.005	-0.014	 1.100	 0.221	 0.786	 0.450
 0.001	-0.018	 1.095	 0.214	 0.847	 0.496
-0.006	-0.014	 1.098	 0.198	 0.877	 0.587
-0.001	-0.010	 1.107	 0.175	 0.885	 0.664
 0.010	-0.011	 1.104	 0.175	 0.946	 0.641
 0.003	-0.019	 1.094	 0.221	 0.931	 0.572
